id,label
721489,"Simonas Šaltenis"
524881,"H. A. James"
590422,"Suguru Saito"
1180248,"Joe David Warren"
1376858,"Claudiu S. Firan"
1573466,"Marcelo Yannuzzi"
655964,"Hiroshi Sakai"
197215,"Marco Blumendorf"
655972,"Zhengwei Qi"
754277,"Yoshinori Dobashi"
459370,"Luis Alonso"
328300,"Kaoru Sezaki"
623216,"Elad Schiller"
1344114,"Kei Iwasaki"
1213042,"Bo Zhang"
1606277,"L. Galluccio"
393865,"B. Apolloni"
852618,"M. Sato"
787082,"Guangyu Sun"
1245833,"Y. Y. Yao"
524942,"Stefan Biffl"
655,"W. W. Vasconcelos"
131726,"Kunihiro Chihara"
1180305,"M Takeichi"
918162,"Kyrre Glette"
1114769,"Min Huang"
1180309,"Lucian Prodan"
1278613,"Weili Wu"
1278615,"Wen-Ling Wu"
1016472,"A. Rueda"
852633,"Makoto Sato"
885402,"J Tanaka"
33434,"Yoram Ofer Moses"
918175,"Razvan Beuran"
1311394,"Abraham Duarte"
1213094,"Sileye O. Ba"
688814,"M&#225/rk Jelasity"
885426,"Amit Sahai"
721591,"Z. Irani"
623291,"Marianne Moon"
704,"César Ferri"
328384,"Marcel Winandy"
688843,"Anh Huy Phan"
557776,"Konstantinos N. Plataniotis"
885457,"Simon Parsons"
230100,"Yoichi Seki"
950999,"Mihály Bencze"
1704665,"Arantxa Villanueva"
131805,"Mario Pickavet"
1704673,"Anselmo Peñas"
721635,"W.-T. Cheng"
721636,"Avi Wigderson"
164585,"Junzhou Huang"
1245933,"C. Geyer"
33521,"Ko Nishino"
557810,"Guido Proietti"
131827,"Dimitri Stiliadis"
131825,"T. Jeron"
164603,"Yoshiaki Nose"
1344253,"Michael I. Schwartzbach"
66303,"Asaf Shabtai"
1180416,"Stefan Manegold"
767,"Bernhard Rumpe"
525055,"Simone Tini"
1704713,"C. Casetti"
1606415,"Claude Kirchner"
1180436,"A. Louri"
1606420,"Claude Jard"
656149,"D Nikolos"
623383,"Chang-Joo Moon"
787224,"Jakub Radoszewski"
230170,"Ying-Dar Lin"
590620,"Ivan Martinez-Ortiz"
754461,"V. Hilaire"
796,"Christian Wimmer"
1704745,"D. V. Arnold"
820011,"Stella Gatziu"
492335,"Dengsheng Zhang"
1442609,"Fredrik Osterlind"
1114930,"Philip E. Gill"
1606450,"Hélène Kirchner"
1016630,"Alberto Avritzer"
164662,"Mathieu Liedloff"
721723,"Daniel Marcu"
1114942,"Jitendra Malik"
295752,"John Kubiatowicz"
1442640,"Sinno Jialin Pan"
590673,"Andreas Menychtas"
394069,"Wayne Kelly"
492377,"Teresa Serrano-Gotarredona"
459610,"Raffaele Cappelli"
1114971,"Robb Newman"
1442654,"Kuo-Liang Cheng"
394088,"Stefano Berretti"
754540,"Hans Uszkoreit"
885614,"Lixin Gao"
131953,"A. Mazzeo"
590712,"R. Degraeve"
1082237,"Shinji Inoue"
492421,"Seong Jin Ahn"
1082245,"Beth Brown"
66442,"Edwin Hsing-Mean Sha"
164747,"Valeri Mladenov"
1541003,"D. P. Huttenlocher"
1475469,"A. Virazel"
131979,"M. Mallem"
1475467,"Youngsoo Shin"
263056,"F. Bellas"
525194,"Anne E. James"
459666,"H. Edelsbrunner"
1311635,"Pearl Pu"
1344404,"K. K. Tan"
33685,"Gabriel Juhás"
1672087,"Shambhu J. Upadhyaya"
132004,"Ron Shamir"
394156,"Michele Garetto"
525231,"Hossein Pedram"
66480,"Yongming Li"
945,"Kasim S. Candan"
1704881,"Eyal Even-Dar"
852915,"Scott Tilley"
1541060,"I. Rozman"
459718,"Fernando Alonso"
984018,"Juan Romero"
492501,"Malcom Gethers"
852953,"Eitan Farchi"
394205,"Luca P. Carloni"
1016800,"Rachida Dssouli"
394213,"Markus Chimani"
1049580,"Weidong Wang"
1147885,"Aniruddha Gokhale"
263149,"Yi-ke Guo"
1049583,"Michael L. Gleicher"
1475569,"Salvatore La Torre"
459763,"Sergio Alonso"
1213428,"Xiao Liu"
1013,"Xiquan Shi"
558070,"Maarten van Steen"
885750,"Toshiaki Tanaka"
689149,"Arnout Vandecappelle"
525309,"Frédéric Vivien"
590849,"Maarten Löffler"
263172,"Jonathan Schaeffer"
525317,"Nobuo Funabiki"
328708,"Kun Yuan"
525319,"A. Szalas"
1032,"Xuanhua Shi"
492552,"Wanqing Li"
656394,"Yoshifumi Sakai"
787467,"Mehdi Dastani"
689164,"S. Sekiguchi"
984076,"Mary Wolcott Hall"
1016851,"T. Margalef"
787476,"Yacine Challal"
1049620,"G. Danese"
754713,"Theodore Dalamagas"
1442842,"Omar Khadeer Hussain"
99354,"Eric Baumer"
1410076,"Qingwei Zhao"
754721,"L. Raschid"
66596,"Michael Liczbanski"
1180709,"Dana Angluin"
1246250,"J. J. Guerrero"
885804,"R. Basili"
230448,"Rogert Wattenhofer"
230452,"M. Poncino"
754745,"Jürgen Becker"
1180730,"Deb Armstrong"
132155,"Jianru Xue"
394300,"Susan Turner"
459840,"Arie Shoshani"
394305,"S. J. Turner"
263234,"Zohar Manna"
1541190,"Andy D. Pimentel"
132170,"David Sislak"
1606730,"J J Buckley"
656461,"S. Sakai"
1246285,"A. Amandi"
230488,"Bla&#382/ Zupan"
623706,"Gerhard Rigoll"
656476,"Amit Konar"
1311837,"Donatello Conte"
197727,"Jun Feng"
328807,"Dazhou Kang"
1344625,"Alessandro Cimatti"
197746,"A. Raghunathan"
1606771,"Nigel Shadbolt"
328822,"Mikyung Kang"
1049721,"M. Yahya"
1410171,"Yoshitatsu Matsuda"
590973,"Michael Benisch"
1541246,"Shin'ichiro Omachi"
1475709,"Hang Li"
328833,"Jean-Patrick Gelas"
1180810,"Sayantan Sur"
33938,"Amr El Abbadi"
820375,"Xiaofei Xu"
820377,"Xu Xu"
165020,"Mathias Géry"
99486,"Fuzhen Zhuang"
1606817,"S. K. S. Gupta"
591010,"Wei Liu"
33957,"Shaohua Pan"
1672362,"Daniel Spielman"
918704,"ZhaoQi Wang"
1180858,"Lucian Voinea"
591035,"W Bruce Croft"
1672385,"Larry F. Hodges"
1541314,"Carlos T. Calafate"
1180869,"Jon T. Butler"
459981,"Frederick T. Sheldon"
1213646,"Masaaki Kondo"
1180881,"Paolo Ceravolo"
132306,"Fei Wu"
885974,"Nicholas Lane"
1475804,"M. A. Vouk"
1247,"Sartaj Sahni"
1541344,"Gini Courter"
853218,"Cosimo Antonio Prete"
591081,"Steven W. Schlosser"
853226,"Mark Goldberg"
951531,"D Helmbold"
1541356,"D. Bhagavathi"
754921,"Michael K. Reiter"
722164,"J. Strother Moore"
1115381,"Aya Soffer"
853237,"Howard Turtle"
1272,"Q. Shi"
132345,"Seiji Tsuchiya"
1541372,"Daniela Florescu"
165117,"José M. Ferrández"
1443073,"V. Gregori"
787724,"Tom Schrijvers"
394509,"R. H. Deng"
1293,"Bin Wu"
1246477,"Qianhong Wu"
1606928,"Matthew K. O. Lee"
1672461,"Arnaldo Cecchini"
1344785,"Andrzej Cichocki"
427284,"Fumihiko Ino"
1541399,"Ernesto Pimentel"
689432,"Ingrid Zukerman"
623897,"Valentina Ciriani"
1246490,"Estefania Argente"
230684,"Roy Friedman"
394529,"A. Monti"
1377570,"J. C. Ruiz-Molina"
1312040,"Matthew P. Johnson"
689449,"Shaun Lawson"
525611,"Lisa Friedrichsen"
394540,"Nieves R. Brisaboa"
591149,"Juan I.  Asensio Perez"
1213742,"Daniel J. Abadi"
460079,"Marta Patiño-Martínez"
460075,"Petri Mahonen"
886061,"Jun Gao"
460080,"Chisa Takano"
1443123,"Christian Böhm"
460083,"Stacy Marsella"
591158,"Aurora Vizcaíno"
984374,"Li Su"
1705272,"V. N. Ryabchenko"
1279292,"Maryam Purvis"
1574207,"Hanmin Jung"
1343,"Italo Epicoco"
1180994,"Yoram Ofek"
1359,"Peng Shi"
656720,"Paola Magillo"
755025,"Sylvain Vauttier"
853331,"Angelo Gargantini"
99671,"Susan R. Fussell"
623963,"Y. Attikiouzel"
230748,"Ryszard Klempous"
460124,"J J Horning"
886108,"Patrick G. Bridges"
1017185,"A. Brandstädt"
558438,"Tomás Feder"
918886,"Jin Tang"
558441,"Jou-Ming Chang"
1115497,"Jaiganesh Balasubramanian"
132459,"Marcin Korytkowski"
1541484,"José Fiadeiro"
1574249,"Anton Nijholt"
99694,"Jon M. Kleinberg"
1246575,"C. Furlanello"
1115506,"S. Malik"
984435,"T Wang"
1541493,"Paolo Baldan"
492918,"M Pezze"
1541496,"Arthur ter Hofstede"
34169,"G Engels"
853371,"Minos N. Garofalakis"
263550,"Youngki Lee"
918919,"U. Qasim"
525703,"Somayajulu Sripada"
460172,"Ben Shneiderman"
1181070,"Mathias Pacher"
722322,"Felice Balarin"
525714,"Ph. L. Toint"
755095,"Larry Korba"
329114,"Bin Sheng"
230813,"Roberto Bruni"
99741,"R. Nussinov"
1443231,"J. A. Gil"
165282,"Daniel Mayer"
460197,"Mikhail Auguston"
951725,"Bryan Horling"
1148333,"Danilo Montesi"
984498,"Robert J. Thomas"
1181112,"Vigyan Singhal"
656824,"Eva Rodriguez"
755133,"Kazumi Nakamatsu"
1607101,"David A. Padua"
1705407,"Tatiana Shpeisman"
755136,"T. Kikuno"
1473,"Manfred Hauswirth"
689607,"Masahiro Hiyama"
1246667,"J. F. Díez Higuera"
558539,"Mohamed Elgamel"
853455,"Mark Cross"
755161,"Jim Woodcock"
1607130,"G. Robertson"
1672665,"J. Watada"
1672669,"Robert K. Abercrombie"
689630,"Grammati Pantziou"
853479,"Dror Rawitz"
1246702,"Bernd Hamann"
1246704,"Carol Sue Zander"
656883,"Cay S. Horstmann"
165365,"Tie-Yan Liu"
1410555,"José F. Rocha"
394747,"P. Luff"
951806,"Michele Conforti"
1705471,"K. S. Decker"
460286,"Kern Koh"
558593,"Kaname Harumoto"
558595,"Rob Procter"
230916,"Chi-Jen Lee"
1213961,"Jussara M. Almeida"
1508873,"Susan Eggers"
34318,"J P Bezivin"
984592,"Kuanquan Wang"
1082899,"Jim Plusquellic"
1476118,"Kathi D. Fisler"
394776,"Alex Repenning"
1410586,"Kunyuan Hu"
1181211,"Gene Tsudik"
394785,"Ichiro Nishizaki"
984613,"Tengjiao Wang"
1476133,"Victor Sosa Sosa"
1246759,"Antonio González"
820790,"Bao Rong Chang"
460344,"Ann Shaffer"
656952,"A Labella"
788029,"Xianping Tao"
230974,"Sajal K. Das"
722495,"Hiroyuki Ohsaki"
296518,"En Zhu"
263752,"Sven Brueckner"
1607241,"Heung-Kyu Lee"
1476173,"Allen Newell"
1214037,"Ramin Hojati"
263766,"Jun Yang"
1541719,"Igor Santos"
1082968,"George Bosilca"
427607,"James R. Curran"
951898,"Minoru Fukumi"
493151,"Panayiotis Georgiou"
525920,"Mohamed Daoudi"
1672803,"Krithivasan Ramamritham"
1246820,"Zacharias Lekkas"
1214054,"F. Almeida"
1508966,"Djoerd Hiemstra"
886379,"Wolfgang Mayer"
1377899,"Francisco Javier Cabrerizo"
853613,"Hyesoon Kim"
132721,"F. Herrera"
1651,"A. H. M. ter Hofstede"
1246845,"Eui Chul Lee"
165502,"Srihari Makineni"
1279624,"Rohit Kumar"
1115784,"Andreas Knupfer"
1214090,"Xiao Zhou"
1246861,"Ken Hawick"
1476241,"Tatsuhiro Tsuchiya"
394898,"Duminda Wijesekera"
67219,"Jun-Ki Min"
886421,"Francesco M. Donini"
362135,"Zhong Chen"
296605,"Liangpei Zhang"
1115806,"Fábio Luciano Verdi"
853663,"Deepu Rajan"
1181343,"Luigi Bedini"
591519,"R. Serra"
165536,"Yngve Villanger"
1246888,"David Salesin"
1214120,"Maria Janilce Almeida"
362156,"Wanli Zuo"
1050288,"Israel Koren"
722609,"Erhardt Barth"
362162,"Wangmeng Zuo"
853683,"Mihalis Yannakakis"
624312,"Alex J. Smola"
1279675,"S. Armagan Tarim"
1672893,"Thomas J. Ostrand"
1181374,"Radko Mesiar"
231103,"Jorma Laaksonen"
1443520,"G. Muller"
1181376,"Peter B. Galvin"
1410753,"Zhi-Wei Li"
1312454,"Davide Di Ruscio"
526029,"G Vaglini"
755406,"B. W. Watson"
722644,"Reynold Cheng"
1509077,"Kenneth P. Birman"
1214169,"Eduardo Santana de Almeida"
132825,"Jichuan Chang"
